a;b
-70.79;200000000.000000
-70.66;201326086.956522
-71.87;202652173.913043
-72.29;203978260.869565
-71.8;205304347.826087
-71.96;206630434.782609
-71.2;207956521.739130
-73.15;209282608.695652
-73.47;210608695.652174
-73.47;211934782.608696
-70.48;213260869.565217
-74.37;214586956.521739
-71.22;215913043.478261
-71.94;217239130.434783
-72.04;218565217.391304
-71.19;219891304.347826
-73.04;221217391.304348
-70.06;222543478.260870
-74.69;223869565.217391
-72.07;225195652.173913
-74.01;226521739.130435
-74.22;227847826.086957
-73.13;229173913.043478
-74.09;230500000.000000
-73.19;231826086.956522
-72.19;233152173.913043
-73.63;234478260.869565
-72.04;235804347.826087
-55.48;237130434.782609
-32;238456521.739130
-59.17;239782608.695652
-72.14;241108695.652174
-73.4;242434782.608696
-72.76;243760869.565217
-75.09;245086956.521739
-73.51;246413043.478261
-73.85;247739130.434783
-74.36;249065217.391304
-72.59;250391304.347826
-71;251717391.304348
-74.12;253043478.260870
-74.29;254369565.217391
-72.84;255695652.173913
-73.48;257021739.130435
-73.11;258347826.086957
-71.55;259673913.043478
-73.4;261000000.000000
